"words","av_word_len","sentences","uniquewords","i","you","he","everything","student","go","understanding","number","often","being","of","would","ADJ","ADP","ADV","CCONJ","DET","NOUN","NUM","PART","PRON","PUNCT","SPACE","VERB","ADJ-ADP","ADJ-DET","ADJ-NOUN","ADJ-PART","ADJ-PUNCT","ADJ-VERB","ADP-ADP","ADP-ADV","ADP-DET","ADP-NOUN","ADP-PRON","ADV-ADJ","ADV-ADV","ADV-DET","ADV-NOUN","ADV-NUM","ADV-PRON","ADV-VERB","CCONJ-ADJ","CCONJ-ADV","CCONJ-DET","CCONJ-NOUN","CCONJ-PART","CCONJ-VERB","DET-ADJ","DET-ADV","DET-DET","DET-NOUN","DET-PUNCT","DET-VERB","NOUN-ADJ","NOUN-ADP","NOUN-ADV","NOUN-CCONJ","NOUN-DET","NOUN-NOUN","NOUN-PART","NOUN-PUNCT","NOUN-VERB","NUM-ADP","PART-VERB","PRON-DET","PRON-VERB","PUNCT-ADP","PUNCT-ADV","PUNCT-CCONJ","PUNCT-DET","PUNCT-NA","PUNCT-NOUN","PUNCT-SPACE","PUNCT-VERB","SPACE-ADJ","SPACE-ADP","SPACE-ADV","SPACE-CCONJ","SPACE-DET","SPACE-PART","VERB-ADJ","VERB-ADP","VERB-ADV","VERB-DET","VERB-NOUN","VERB-PUNCT","VERB-VERB","ADJ-ADJ","ADJ-PRON","ADP-ADJ","ADP-VERB","ADV-CCONJ","ADV-PART","ADV-PUNCT","CCONJ-PRON","DET-ADP","DET-CCONJ","DET-PRON","NOUN-PRON","NUM-NOUN","PRON-CCONJ","PRON-PUNCT","PUNCT-PRON","SPACE-PRON","VERB-CCONJ","VERB-NUM","VERB-PART","PROPN","ADJ-CCONJ","ADP-PROPN","ADV-ADP","PART-DET","PRON-ADJ","PRON-ADP","PRON-ADV","PRON-NOUN","PRON-PRON","PROPN-PUNCT","PUNCT-PART","SPACE-NOUN","VERB-PRON","ADJ-ADV","ADJ-NUM","CCONJ-ADP","NUM-VERB","PART-CCONJ","PART-NOUN","PART-PUNCT","PUNCT-ADJ","INTJ","ADP-PART","CCONJ-PROPN","INTJ-PRON","NUM-NUM","PART-ADP","PROPN-CCONJ","PROPN-DET","PROPN-NOUN","PROPN-PROPN","PROPN-VERB","PUNCT-INTJ","PUNCT-PROPN","VERB-PROPN","ADV-PROPN","DET-PROPN","INTJ-PUNCT","INTJ-VERB","NOUN-PROPN","PROPN-INTJ","PROPN-PART","PUNCT-PUNCT","SPACE-NA","SPACE-PUNCT","ADP-NUM","CCONJ-NUM","NUM-CCONJ","CCONJ-PUNCT","DET-NUM","NOUN-INTJ","PROPN-ADP","ADV-INTJ","PART-ADV","SPACE-VERB","VERB-INTJ","AUX","ADV-AUX","AUX-ADV","PRON-AUX","ADP-CCONJ","ADP-PUNCT","PRON-PART","AUX-VERB","INTJ-DET","SPACE-INTJ","PUNCT-AUX","PROPN-PRON","X","NOUN-X","PART-ADJ","X-ADV","NUM-PRON","INTJ-ADP","NUM-ADJ","NUM-DET","PUNCT-X","X-PUNCT","PRON-INTJ","NOUN-SPACE","PROPN-ADV","PUNCT-NUM","NOUN-AUX","VERB-X","X-PRON","SPACE-PROPN","X-VERB","ADJ-AUX","ADJ-PROPN","INTJ-ADV","NOUN-NUM","INTJ-NOUN","ADP-X","X-ADP","NUM-ADV","SPACE-NUM","PART-PART","SYM","DET-SYM","SYM-NOUN","NUM-PART","NUM-PUNCT","PROPN-ADJ","DET-PART","PART-PRON","CCONJ-X","X-ADJ","X-X","PART-PROPN","INTJ-PART","PRON-NA","DET-X","X-DET","NUM-SYM","SYM-NUM","NOUN-NA","PRON-NUM","ADJ-X","ADP-INTJ","PART-NUM","PRON-PROPN","INTJ-CCONJ","ADJ-SPACE","X-CCONJ","CCONJ-INTJ","X-SYM","DET-AUX","PRON-SYM","SYM-PRON","exam_id","test_score","confidencehedged","confidencehigh"
309,4.48867313915858,14,108,2,0,0,0,0,1,0,0,0,0,11,0,20,40,20,11,79,88,1,6,3,29,13,41,2,3,11,2,1,1,2,1,33,2,2,7,2,3,3,1,1,3,1,2,3,2,1,2,6,1,7,60,1,4,1,19,3,4,6,7,2,26,20,1,6,1,2,5,2,5,1,1,1,13,1,1,1,1,2,7,1,4,10,8,14,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004355,0,1,0
312,4.51923076923077,14,124,3,18,0,1,0,0,4,0,0,0,6,2,23,37,18,12,48,63,1,6,34,23,2,68,4,0,15,0,2,1,1,0,16,4,7,7,1,1,0,0,4,4,2,0,3,4,0,2,7,2,4,30,0,3,1,8,5,8,5,0,2,15,12,1,6,4,23,6,1,2,4,1,1,2,1,0,1,0,0,1,0,2,13,8,10,9,4,10,0,0,3,6,0,0,0,1,0,0,2,7,0,0,1,3,0,1,1,3,0,1,0,1,0,1,1,1,0,2,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012151,1,3,7
345,4.19420289855072,11,163,5,6,0,0,0,0,0,0,0,0,4,3,23,44,23,17,59,78,4,11,15,20,5,67,1,0,17,0,2,1,1,2,24,4,2,1,2,2,0,1,3,6,1,2,2,1,0,4,11,0,3,39,0,4,1,11,5,6,7,11,5,13,15,1,7,0,13,2,2,6,2,1,1,5,1,0,0,2,1,0,0,4,15,7,18,2,2,9,0,0,3,6,0,0,3,2,1,0,0,3,1,0,0,0,1,1,0,6,2,1,1,5,0,1,0,0,1,0,0,0,0,3,1,0,4,1,1,1,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1034720,1,5,4
330,4.18787878787879,17,112,32,0,1,0,0,2,0,0,0,0,3,0,21,36,25,15,44,60,4,16,38,27,5,71,4,0,14,0,1,0,1,5,13,8,5,3,0,2,1,0,5,5,0,0,4,0,1,1,8,1,4,23,1,1,2,11,0,10,6,1,2,16,9,0,16,0,35,5,5,0,1,1,0,5,0,0,2,1,0,1,0,5,12,13,13,9,2,2,1,1,2,2,1,3,5,9,1,2,3,3,4,1,2,10,1,1,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040518,0,2,2
329,4.13981762917933,28,145,6,0,15,2,0,1,0,0,0,0,5,1,23,25,24,11,47,53,0,15,43,34,7,87,2,0,10,0,7,1,0,1,13,1,5,0,1,1,1,0,5,10,0,1,1,0,0,6,15,0,1,29,0,0,1,7,5,3,0,5,4,15,8,0,14,0,34,2,6,4,1,1,1,7,2,0,1,1,0,2,0,3,10,8,27,3,7,9,0,2,1,3,0,2,3,3,1,0,1,5,0,0,1,9,1,3,0,8,1,1,1,1,1,2,1,1,1,3,1,1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1043338,0,4,6
389,4.7840616966581,25,217,1,0,0,0,0,0,0,1,0,2,18,2,34,56,19,12,53,115,5,7,7,36,6,76,5,0,23,0,2,0,0,0,22,25,1,5,0,0,0,0,1,9,3,2,2,3,0,2,14,2,1,27,1,5,3,31,2,8,6,13,5,25,21,1,4,0,7,5,3,0,3,1,11,6,1,0,0,0,0,3,0,1,13,9,16,5,4,23,2,0,3,1,0,0,3,0,1,0,1,0,4,0,0,2,1,3,1,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1047489,1,2,1
311,3.81993569131833,19,111,1,0,0,0,0,1,0,0,0,0,2,1,42,34,27,11,33,70,5,15,8,34,3,66,11,1,12,0,10,0,2,1,10,12,3,9,2,1,1,0,1,8,4,1,1,2,0,2,7,0,0,23,2,1,2,4,1,3,1,7,8,16,28,2,8,1,6,6,4,3,7,1,5,3,1,1,0,0,0,2,0,10,5,16,9,3,3,10,1,0,6,0,1,0,1,0,0,0,0,0,1,0,0,2,0,1,1,7,0,2,0,3,0,0,0,1,0,0,0,0,0,1,1,4,1,2,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104896,0,4,0
313,4.68370607028754,12,131,4,13,0,0,0,1,0,0,1,0,10,0,36,44,24,13,41,69,1,11,20,40,11,54,5,0,23,5,2,0,0,2,17,9,5,4,2,1,1,0,5,4,0,1,2,5,0,1,12,1,1,22,0,5,3,17,1,5,4,1,3,27,7,0,10,0,17,4,2,6,4,1,1,11,1,0,5,4,1,0,0,6,9,6,12,6,2,9,1,0,8,0,0,0,6,1,0,0,0,1,1,0,0,6,1,0,0,3,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1054125,1,5,5
347,4.53025936599424,17,168,3,0,0,0,0,0,0,1,2,2,11,0,36,43,35,9,37,76,0,19,16,34,6,74,2,1,28,1,0,0,1,1,15,12,2,5,2,4,1,0,1,10,2,1,1,2,0,0,9,1,0,20,1,5,3,15,4,7,1,4,11,18,8,0,17,0,15,7,5,2,4,1,0,6,2,1,0,3,0,0,0,5,14,15,11,6,5,13,3,0,8,3,0,1,8,2,0,0,0,4,0,0,1,6,1,0,0,5,1,0,0,3,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1055941,1,5,3
302,4.60927152317881,25,141,14,5,0,0,0,3,0,0,0,0,5,1,15,46,11,9,41,54,2,5,41,27,1,67,3,0,6,1,4,0,4,0,19,8,12,1,1,0,0,0,2,5,1,0,4,0,0,0,7,0,1,30,0,2,0,16,0,5,1,4,0,14,8,0,3,0,33,4,2,1,2,1,0,1,1,0,1,0,0,0,0,5,15,7,12,3,1,13,0,0,0,0,0,0,1,3,0,0,1,6,1,0,4,12,0,0,1,3,10,1,2,1,1,1,1,1,1,0,3,0,0,3,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,1,1,2,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1057533,0,5,6
349,4.61318051575931,12,176,2,0,0,0,0,0,0,0,0,0,13,1,35,56,28,11,38,88,1,13,12,34,3,66,2,0,28,3,1,0,1,1,21,13,1,1,2,2,2,0,2,12,1,2,1,1,0,2,6,0,0,30,1,1,3,24,5,3,0,2,6,26,16,0,12,0,8,9,5,7,1,1,2,3,1,0,1,1,0,1,0,10,12,8,12,9,4,6,0,0,10,7,0,0,2,2,0,0,0,3,1,0,0,3,0,0,0,4,1,1,1,5,0,1,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1064402,1,7,1
296,4.4527027027027,31,142,12,1,14,0,0,0,0,0,0,0,9,0,22,31,20,9,28,68,1,14,34,38,4,62,3,2,11,0,4,0,1,0,11,12,0,5,0,0,0,0,9,1,1,1,1,1,0,1,1,0,1,24,0,1,0,13,3,1,0,4,3,29,9,1,9,0,33,1,6,5,3,0,2,4,1,0,0,1,0,0,0,6,12,9,9,9,0,4,0,1,6,0,0,2,2,4,0,0,0,5,0,0,0,11,0,1,1,8,5,1,1,0,1,1,0,0,0,0,0,0,1,3,0,0,0,0,0,4,0,2,2,0,0,0,0,0,1,0,0,0,2,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073001,0,1,3
372,4.21236559139785,14,168,1,0,0,0,0,0,0,2,0,0,10,0,27,57,27,6,50,98,10,7,11,14,5,77,2,0,22,0,0,2,2,1,17,18,4,2,2,4,1,0,3,8,0,1,1,3,0,0,7,2,2,32,0,6,2,31,4,6,11,9,4,10,20,0,6,0,9,1,4,0,1,0,0,5,2,0,1,0,0,3,0,8,14,10,11,4,1,20,0,0,8,2,0,0,3,0,1,0,0,1,8,0,0,1,0,0,5,2,1,0,1,4,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1074456,1,4,3
